year,pct,sex,race,stopped,arrested,frisked,searched,summoned,contrabn,weapnfnd,pf_weapn,pf_hcuff,cs_objcs,cs_descr,cs_casng,cs_lkout,cs_cloth,cs_drgtr,cs_furtv,cs_vcrim,cs_bulge,rf_vcrim,rf_othsw,rf_attir,rf_vcact,rf_rfcmp,rf_verbl,rf_knowl,rf_furtv,rf_bulge
2003,10,F,P,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2003,10,F,Q,27,1,7,1,0,1,0,1,1,0,4,1,1,0,0,2,1,0,3,5,0,0,1,0,0,2,0
2003,10,F,W,13,0,2,0,0,0,0,0,0,0,3,0,0,0,4,4,1,0,1,2,0,0,1,0,0,1,0
2003,10,M,A,29,2,21,3,1,1,1,0,3,0,3,6,1,0,1,12,0,3,0,9,0,0,6,0,0,7,3
2003,10,M,B,618,80,331,85,8,27,12,22,43,19,191,123,47,24,67,86,56,38,75,98,41,30,91,4,13,128,51
2003,10,M,I,4,1,1,1,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
2003,10,M,P,71,9,34,12,1,5,2,3,8,2,20,17,8,5,10,14,9,7,8,9,6,6,6,2,2,18,8
2003,10,M,Q,323,32,155,43,11,17,5,7,18,11,59,64,30,5,36,42,32,22,42,45,13,15,44,6,5,61,20
2003,10,M,W,184,23,102,29,11,12,2,7,16,9,34,40,16,1,28,41,13,9,18,29,5,5,34,8,4,44,13
2003,13,F,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,13,F,B,16,0,5,0,1,0,0,0,3,1,2,2,3,0,2,3,0,1,0,2,1,0,1,0,0,1,2
2003,13,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,13,F,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,13,F,Q,9,0,2,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1,0,2,1
2003,13,F,W,22,1,3,0,1,0,0,1,0,1,3,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
2003,13,M,A,17,0,5,1,0,0,0,0,2,1,1,0,0,0,0,0,1,1,3,2,0,1,3,0,0,0,0
2003,13,M,B,311,31,155,39,8,5,1,13,32,14,97,48,18,8,23,64,8,7,39,59,17,8,30,5,6,52,14
2003,13,M,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,13,M,P,22,1,12,3,1,0,0,1,0,0,11,4,0,1,2,5,0,1,5,2,1,0,1,0,0,4,6
2003,13,M,Q,141,8,67,16,5,5,4,5,16,7,56,14,6,1,19,11,10,6,12,26,6,6,6,2,5,19,12
2003,13,M,W,113,15,47,12,0,2,2,3,6,6,36,19,3,0,6,12,0,3,4,15,8,3,8,0,1,8,11
2003,14,F,A,15,0,3,0,1,0,0,0,1,0,0,0,1,0,0,5,0,2,1,0,0,0,3,0,0,2,0
2003,14,F,B,95,11,11,11,3,1,1,5,4,2,24,21,14,5,9,16,1,0,1,9,0,0,3,0,0,1,0
2003,14,F,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,14,F,P,6,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,14,F,Q,36,7,10,4,0,1,0,1,0,1,9,6,5,2,6,3,0,0,3,5,1,0,1,0,0,2,0
2003,14,F,W,62,13,7,4,1,2,0,0,6,4,5,17,8,6,9,13,0,1,0,3,0,0,2,0,0,4,1
2003,14,M,A,74,7,19,6,3,3,1,4,7,4,12,20,14,0,6,8,4,0,7,6,3,3,7,0,0,6,2
2003,14,M,B,1393,151,422,163,44,26,16,27,101,59,321,417,204,48,226,289,28,52,95,167,61,13,82,9,15,145,54
2003,14,M,I,6,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2003,14,M,P,99,9,35,8,2,2,4,3,4,5,24,20,10,3,21,16,3,5,13,17,5,2,0,2,1,2,4
2003,14,M,Q,564,47,173,59,14,10,6,14,43,18,107,162,76,15,101,109,26,26,32,75,21,17,35,9,0,47,23
2003,14,M,W,448,33,88,30,18,3,7,15,22,17,46,119,59,7,87,99,12,24,23,29,14,12,20,0,2,37,19
2003,17,F,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,F,B,21,10,10,8,1,3,0,0,7,2,5,0,3,0,1,0,0,2,1,6,1,0,0,0,0,0,2
2003,17,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,F,P,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2003,17,F,Q,3,2,2,2,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2003,17,F,W,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,M,A,8,0,1,0,0,0,0,0,0,2,2,4,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
2003,17,M,B,137,42,81,44,2,20,2,2,34,13,40,29,7,4,21,18,1,6,14,35,5,1,7,4,5,21,12
2003,17,M,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,17,M,P,9,3,6,4,0,1,0,0,1,2,1,2,0,1,0,2,0,0,2,3,0,0,1,0,0,2,0
2003,17,M,Q,52,16,33,20,3,5,5,5,16,2,7,9,1,1,8,3,2,5,6,8,1,2,6,1,0,7,7
2003,17,M,W,60,16,34,10,2,6,2,1,13,4,15,6,2,1,6,7,1,4,7,7,5,0,6,0,1,10,9
2003,18,F,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,18,F,B,21,4,14,3,1,0,0,2,5,0,6,4,1,0,2,6,1,0,2,7,1,2,4,0,0,3,0
2003,18,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,18,F,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,18,F,Q,15,2,8,2,1,0,0,3,1,2,2,3,2,0,0,3,0,0,2,3,0,0,0,0,0,3,0
2003,18,F,W,15,0,3,0,0,0,0,1,1,1,3,4,1,1,1,0,2,1,0,3,0,3,0,0,0,0,0
2003,18,M,A,17,2,7,0,3,0,0,0,3,2,3,5,2,0,0,2,1,2,1,4,0,0,1,0,0,2,2
2003,18,M,B,329,24,177,40,9,2,9,24,23,11,114,71,37,6,28,52,10,17,47,75,28,7,37,4,6,40,17
2003,18,M,I,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,18,M,P,37,3,24,3,2,3,0,3,2,0,13,14,8,1,4,9,2,0,5,8,1,3,6,1,0,8,4
2003,18,M,Q,203,19,120,36,7,7,8,8,18,7,53,40,16,7,24,41,6,16,30,34,18,8,29,4,4,34,18
2003,18,M,W,132,8,54,11,9,5,1,6,6,5,42,28,10,4,8,21,7,10,12,19,1,6,9,3,1,14,9
2003,19,F,A,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,19,F,B,30,6,4,2,0,0,0,0,0,1,13,9,5,1,0,2,0,0,0,4,0,0,0,0,0,0,0
2003,19,F,I,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,19,F,P,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2003,19,F,Q,19,4,5,5,0,2,0,0,1,1,10,3,1,0,0,0,0,0,1,2,0,0,2,1,0,1,0
2003,19,F,W,16,2,6,4,0,0,0,2,4,1,7,0,2,0,0,0,3,1,2,6,0,2,1,0,1,1,0
2003,19,M,A,14,0,4,1,1,0,0,0,1,0,3,0,3,0,0,0,0,1,0,0,0,0,3,0,0,1,1
2003,19,M,B,411,61,159,56,9,11,5,13,21,20,196,94,37,19,4,46,19,4,45,81,10,15,15,2,5,37,8
2003,19,M,I,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2003,19,M,P,46,7,20,8,0,0,0,0,9,0,29,10,3,2,0,5,1,2,6,11,1,4,1,0,0,2,2
2003,19,M,Q,214,38,106,39,7,7,7,18,27,15,71,42,17,8,2,29,7,16,28,44,5,12,15,1,4,27,12
2003,19,M,W,193,31,81,33,9,3,3,4,20,7,76,16,11,1,9,25,11,4,18,31,3,11,13,3,6,15,6
2003,20,F,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,20,F,B,29,2,9,1,0,1,0,0,0,0,10,5,5,0,3,4,0,0,2,3,0,0,3,0,0,4,1
2003,20,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,20,F,P,3,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2003,20,F,Q,10,1,1,0,0,0,0,0,0,0,1,2,3,0,3,3,0,0,0,0,0,0,1,0,0,1,0
2003,20,F,W,11,2,2,0,1,1,0,0,0,0,5,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0
2003,20,M,A,21,1,8,3,4,0,1,1,1,0,6,4,2,1,1,4,1,1,2,5,0,3,3,0,0,1,1
2003,20,M,B,346,60,165,49,13,18,8,9,28,11,130,79,45,18,30,59,12,11,39,51,16,10,44,13,5,52,16
2003,20,M,I,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,20,M,P,47,4,29,7,3,2,1,0,5,0,16,8,3,0,5,8,1,2,8,9,3,3,4,0,0,14,3
2003,20,M,Q,186,15,87,18,25,5,2,6,3,8,47,61,31,2,13,30,3,7,12,34,11,2,21,5,1,35,5
2003,20,M,W,114,15,47,7,20,5,1,3,8,5,30,28,14,1,3,17,3,11,12,21,6,6,5,2,1,12,6
2003,22,F,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,22,F,B,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,22,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,22,F,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,22,F,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,22,F,W,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,22,M,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,22,M,B,41,1,11,3,0,1,0,1,1,0,35,2,0,2,1,4,0,3,6,4,0,1,1,1,0,0,3
2003,22,M,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,22,M,P,7,1,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
2003,22,M,Q,36,6,16,2,3,0,1,1,2,0,27,1,1,0,1,2,1,7,7,6,3,1,0,0,0,1,6
2003,22,M,W,20,0,12,0,0,0,0,1,0,0,15,2,0,0,2,11,0,9,6,9,0,0,1,0,0,0,1
2003,23,F,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,23,F,B,121,10,21,10,3,4,2,3,7,0,10,7,6,4,11,19,4,2,7,10,1,3,3,1,2,10,2
2003,23,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,23,F,P,10,1,1,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
2003,23,F,Q,86,5,12,4,3,1,0,0,4,0,8,5,9,0,14,9,0,1,3,8,1,0,0,1,1,1,0
2003,23,F,W,10,0,4,1,1,0,0,0,1,0,0,1,0,1,1,3,0,2,0,0,0,0,2,0,0,4,2
2003,23,M,A,6,1,2,1,0,1,0,0,0,1,1,1,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0
2003,23,M,B,1329,82,632,88,62,33,16,14,54,6,333,89,105,48,99,360,80,153,171,175,55,43,138,11,17,263,119
2003,23,M,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,23,M,P,205,9,114,13,5,2,1,6,9,3,62,21,15,9,17,49,9,25,23,33,11,3,16,3,2,44,26
2003,23,M,Q,951,64,496,63,45,18,15,11,40,14,216,81,73,28,82,238,58,147,118,121,43,26,85,12,14,202,128
2003,23,M,W,75,10,27,7,3,0,2,0,4,1,13,8,3,0,2,10,2,4,6,10,1,4,5,0,0,8,7
2003,24,F,A,4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2003,24,F,B,42,7,9,2,4,1,2,0,5,2,13,5,2,1,7,7,3,3,3,3,0,0,2,0,0,4,0
2003,24,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,24,F,P,5,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0
2003,24,F,Q,33,0,7,1,1,0,0,8,1,1,8,3,3,0,2,6,2,0,1,3,1,1,0,0,1,0,1
2003,24,F,W,10,0,1,0,2,0,0,0,0,0,3,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1
2003,24,M,A,4,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,24,M,B,562,45,245,53,29,19,7,23,24,22,256,71,45,26,38,97,27,40,94,87,30,23,45,5,4,69,28
2003,24,M,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,24,M,P,118,13,60,9,0,3,1,13,7,2,47,18,14,2,20,20,7,5,28,15,2,8,12,4,2,21,6
2003,24,M,Q,348,30,164,32,11,5,7,9,17,13,128,52,37,12,36,51,19,26,66,61,6,22,22,15,5,43,27
2003,24,M,W,64,5,17,3,6,1,0,4,2,8,17,13,3,1,8,7,0,4,5,6,3,1,4,0,1,0,3
2003,25,F,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,25,F,B,76,12,24,11,3,4,0,1,8,2,16,1,5,3,13,16,2,2,5,10,1,0,4,1,0,9,4
2003,25,F,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,25,F,P,6,2,2,2,1,1,0,0,1,1,0,2,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0
2003,25,F,Q,31,4,10,3,3,2,1,0,4,1,12,3,0,0,2,6,3,0,2,8,0,1,1,0,0,2,1
2003,25,F,W,20,3,8,3,0,2,1,0,1,2,2,1,2,0,8,8,3,0,3,5,0,3,3,0,0,6,0
2003,25,M,A,6,1,3,1,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,1,0,2,0,0,1,2,0
2003,25,M,B,1232,106,743,132,51,42,25,38,95,24,296,88,81,23,114,441,192,111,272,288,33,180,159,7,13,400,111
2003,25,M,I,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0
2003,25,M,P,117,9,80,10,4,8,6,2,7,5,37,2,8,2,8,42,11,13,25,32,6,7,19,1,0,39,14
2003,25,M,Q,599,42,338,67,27,13,16,13,42,25,136,42,30,8,53,183,90,47,130,162,10,71,54,2,9,167,59
2003,25,M,W,135,5,96,11,3,4,2,4,8,2,11,4,3,0,16,61,55,3,57,63,1,47,16,0,4,51,9
